
========== fold: 0 training ==========
Train Epoch: 13 [960/3825(25%)]	Loss: 0.50656337
Train Epoch: 13 [1280/3825(33%)]	Loss: 0.38228643
Train Epoch: 13 [1600/3825(42%)]	Loss: 0.73864949
Train Epoch: 13 [1920/3825(50%)]	Loss: 0.35628268
Train Epoch: 13 [2240/3825(58%)]	Loss: 0.32208544
Train Epoch: 13 [2560/3825(67%)]	Loss: 0.41246152
Train Epoch: 13 [2880/3825(75%)]	Loss: 0.51386732
Train Epoch: 13 [3200/3825(83%)]	Loss: 0.55314106
Train Epoch: 13 [3520/3825(92%)]	Loss: 0.46486712
Train Mean Loss : 0.43613797,	Train Accuracy: 83.61,	Time : 385.86 sec	 LR : 0.00006247
Train Epoch: 14 [0/3825(0%)]	Loss: 0.25519112
Train Epoch: 14 [320/3825(8%)]	Loss: 0.40893224
Train Epoch: 14 [640/3825(17%)]	Loss: 0.52866364
Train Epoch: 14 [960/3825(25%)]	Loss: 0.33462450
Train Epoch: 14 [1280/3825(33%)]	Loss: 0.59810227
Train Epoch: 14 [1600/3825(42%)]	Loss: 0.41100436
Train Epoch: 14 [1920/3825(50%)]	Loss: 0.26881340
Train Epoch: 14 [2240/3825(58%)]	Loss: 0.56776434
Train Epoch: 14 [2560/3825(67%)]	Loss: 0.44904801
Train Epoch: 14 [2880/3825(75%)]	Loss: 0.41734299
Train Epoch: 14 [3200/3825(83%)]	Loss: 0.80555868
Train Epoch: 14 [3520/3825(92%)]	Loss: 0.41873136
Train Mean Loss : 0.44449069,	Train Accuracy: 82.41,	Time : 386.32 sec	 LR : 0.00001156
Train Epoch: 15 [0/3825(0%)]	Loss: 0.44429567
Train Epoch: 15 [320/3825(8%)]	Loss: 0.31021526
Train Epoch: 15 [640/3825(17%)]	Loss: 0.23242773
Train Epoch: 15 [960/3825(25%)]	Loss: 0.24258699
Train Epoch: 15 [1280/3825(33%)]	Loss: 0.42788619
Train Epoch: 15 [1600/3825(42%)]	Loss: 0.47005141
Train Epoch: 15 [1920/3825(50%)]	Loss: 0.30279753
Train Epoch: 15 [2240/3825(58%)]	Loss: 0.14593077
Train Epoch: 15 [2560/3825(67%)]	Loss: 0.35027215
Train Epoch: 15 [2880/3825(75%)]	Loss: 0.41365668
Train Epoch: 15 [3200/3825(83%)]	Loss: 0.45473588
Train Epoch: 15 [3520/3825(92%)]	Loss: 0.55785847
Train Mean Loss : 0.39438957,	Train Accuracy: 84.81,	Time : 374.67 sec	 LR : 0.00009990
Train Epoch: 16 [0/3825(0%)]	Loss: 0.30566919
Train Epoch: 16 [320/3825(8%)]	Loss: 0.45635831
Train Epoch: 16 [640/3825(17%)]	Loss: 0.47367692
Train Epoch: 16 [960/3825(25%)]	Loss: 0.46750110
Train Epoch: 16 [1280/3825(33%)]	Loss: 0.31254828
Train Epoch: 16 [1600/3825(42%)]	Loss: 0.47419849
Train Epoch: 16 [1920/3825(50%)]	Loss: 0.29107231
Train Epoch: 16 [2240/3825(58%)]	Loss: 0.27909392
Train Epoch: 16 [2560/3825(67%)]	Loss: 0.59930873
Train Epoch: 16 [2880/3825(75%)]	Loss: 0.19399224
Train Epoch: 16 [3200/3825(83%)]	Loss: 0.46613300
Train Epoch: 16 [3520/3825(92%)]	Loss: 0.31785563
Train Mean Loss : 0.41419172,	Train Accuracy: 83.74,	Time : 377.02 sec	 LR : 0.00000788
Train Epoch: 17 [0/3825(0%)]	Loss: 0.32698697
Train Epoch: 17 [320/3825(8%)]	Loss: 0.49468765
Train Epoch: 17 [640/3825(17%)]	Loss: 0.35810906
Train Epoch: 17 [960/3825(25%)]	Loss: 0.46951419
Train Epoch: 17 [1280/3825(33%)]	Loss: 0.26267168
Train Epoch: 17 [1600/3825(42%)]	Loss: 0.32343143
Train Epoch: 17 [1920/3825(50%)]	Loss: 0.47793087
Train Epoch: 17 [2240/3825(58%)]	Loss: 0.46110511
Train Epoch: 17 [2560/3825(67%)]	Loss: 0.51726937
Train Epoch: 17 [2880/3825(75%)]	Loss: 0.32344836
Train Epoch: 17 [3200/3825(83%)]	Loss: 0.62529248
Train Epoch: 17 [3520/3825(92%)]	Loss: 0.44704381
Train Mean Loss : 0.40794385,	Train Accuracy: 84.26,	Time : 380.26 sec	 LR : 0.00006844
Train Epoch: 18 [0/3825(0%)]	Loss: 0.24243841
Train Epoch: 18 [320/3825(8%)]	Loss: 0.30541068
Train Epoch: 18 [640/3825(17%)]	Loss: 0.49458042
Train Epoch: 18 [960/3825(25%)]	Loss: 0.18815586
Train Epoch: 18 [1280/3825(33%)]	Loss: 0.23929027
Train Epoch: 18 [1600/3825(42%)]	Loss: 0.26164892
Train Epoch: 18 [1920/3825(50%)]	Loss: 0.31044611
Train Epoch: 18 [2240/3825(58%)]	Loss: 0.29137182
Train Epoch: 18 [2560/3825(67%)]	Loss: 0.39323330
Train Epoch: 18 [2880/3825(75%)]	Loss: 0.51576602
Train Epoch: 18 [3200/3825(83%)]	Loss: 0.58199567
Train Epoch: 18 [3520/3825(92%)]	Loss: 0.35388389
Train Mean Loss : 0.35900160,	Train Accuracy: 85.96,	Time : 378.45 sec	 LR : 0.00006247
Train Epoch: 19 [0/3825(0%)]	Loss: 0.36555639
Train Epoch: 19 [320/3825(8%)]	Loss: 0.34311539
Train Epoch: 19 [640/3825(17%)]	Loss: 0.52475935
Train Epoch: 19 [960/3825(25%)]	Loss: 0.39089128
Train Epoch: 19 [1280/3825(33%)]	Loss: 0.46629572
Train Epoch: 19 [1600/3825(42%)]	Loss: 0.47008497
Train Epoch: 19 [1920/3825(50%)]	Loss: 0.29249680
Train Epoch: 19 [2240/3825(58%)]	Loss: 0.37974554
Train Epoch: 19 [2560/3825(67%)]	Loss: 0.38819063
Train Epoch: 19 [2880/3825(75%)]	Loss: 0.45456967
Train Epoch: 19 [3200/3825(83%)]	Loss: 0.34977415
Train Epoch: 19 [3520/3825(92%)]	Loss: 0.48152223
Train Mean Loss : 0.37211127,	Train Accuracy: 85.36,	Time : 375.72 sec	 LR : 0.00001156
Train Epoch: 20 [0/3825(0%)]	Loss: 0.26420054
Train Epoch: 20 [320/3825(8%)]	Loss: 0.23012608
Train Epoch: 20 [640/3825(17%)]	Loss: 0.24943078
Train Epoch: 20 [960/3825(25%)]	Loss: 0.24655917
Train Epoch: 20 [1280/3825(33%)]	Loss: 0.12751165
Train Epoch: 20 [1600/3825(42%)]	Loss: 0.23230475
Train Epoch: 20 [1920/3825(50%)]	Loss: 0.43940064
Train Epoch: 20 [2240/3825(58%)]	Loss: 0.38256195
Train Epoch: 20 [2560/3825(67%)]	Loss: 0.30961516
Train Epoch: 20 [2880/3825(75%)]	Loss: 0.42837566
Train Epoch: 20 [3200/3825(83%)]	Loss: 0.39078844
Train Epoch: 20 [3520/3825(92%)]	Loss: 0.37353426
Train Mean Loss : 0.31070140,	Train Accuracy: 88.08,	Time : 386.89 sec	 LR : 0.00009990

========== Validation ==========
Average loss: 0.92630038, Accuracy: 2955/3826 (77.23%)
Save the best acc model, loss = 0.926300, acc = 77.234710
Train Epoch: 21 [0/3825(0%)]	Loss: 0.43832174
Train Epoch: 21 [320/3825(8%)]	Loss: 0.44432199
Train Epoch: 21 [640/3825(17%)]	Loss: 0.16040787
Train Epoch: 21 [960/3825(25%)]	Loss: 0.34923521
Train Epoch: 21 [1280/3825(33%)]	Loss: 0.44445214
Train Epoch: 21 [1600/3825(42%)]	Loss: 0.27877593
Train Epoch: 21 [1920/3825(50%)]	Loss: 0.23497769
Train Epoch: 21 [2240/3825(58%)]	Loss: 0.24260409
Train Epoch: 21 [2560/3825(67%)]	Loss: 0.25094214
Train Epoch: 21 [2880/3825(75%)]	Loss: 0.32481858
Train Epoch: 21 [3200/3825(83%)]	Loss: 0.29021618
Train Epoch: 21 [3520/3825(92%)]	Loss: 0.19483005
Train Mean Loss : 0.32881101,	Train Accuracy: 87.84,	Time : 376.70 sec	 LR : 0.00000788
Train Epoch: 22 [0/3825(0%)]	Loss: 0.21125914
Train Epoch: 22 [320/3825(8%)]	Loss: 0.23114534
Train Epoch: 22 [640/3825(17%)]	Loss: 0.46429154
Train Epoch: 22 [960/3825(25%)]	Loss: 0.22043367
Train Epoch: 22 [1280/3825(33%)]	Loss: 0.52281892
Train Epoch: 22 [1600/3825(42%)]	Loss: 0.14998347
Train Epoch: 22 [1920/3825(50%)]	Loss: 0.32745594
Train Epoch: 22 [2240/3825(58%)]	Loss: 0.27414015
Train Epoch: 22 [2560/3825(67%)]	Loss: 0.16495577
Train Epoch: 22 [2880/3825(75%)]	Loss: 0.38265812
Train Epoch: 22 [3200/3825(83%)]	Loss: 0.44099495
Train Epoch: 22 [3520/3825(92%)]	Loss: 0.19898270
Train Mean Loss : 0.32328276,	Train Accuracy: 88.08,	Time : 374.60 sec	 LR : 0.00006844
Train Epoch: 23 [0/3825(0%)]	Loss: 0.16945206
Train Epoch: 23 [320/3825(8%)]	Loss: 0.45310411
Train Epoch: 23 [640/3825(17%)]	Loss: 0.40096280
Train Epoch: 23 [960/3825(25%)]	Loss: 0.23350175
Train Epoch: 23 [1280/3825(33%)]	Loss: 0.20929159
Train Epoch: 23 [1600/3825(42%)]	Loss: 0.35354614
Train Epoch: 23 [1920/3825(50%)]	Loss: 0.29781917
Train Epoch: 23 [2240/3825(58%)]	Loss: 0.38184157
Train Epoch: 23 [2560/3825(67%)]	Loss: 0.31433660
Train Epoch: 23 [2880/3825(75%)]	Loss: 0.39342028
Train Epoch: 23 [3200/3825(83%)]	Loss: 0.20343839
Train Epoch: 23 [3520/3825(92%)]	Loss: 0.19685036
Train Mean Loss : 0.26854224,	Train Accuracy: 89.99,	Time : 377.06 sec	 LR : 0.00006247
Train Epoch: 24 [0/3825(0%)]	Loss: 0.15968689
Train Epoch: 24 [320/3825(8%)]	Loss: 0.27986804
Train Epoch: 24 [640/3825(17%)]	Loss: 0.10756691
Train Epoch: 24 [960/3825(25%)]	Loss: 0.42419568
Train Epoch: 24 [1280/3825(33%)]	Loss: 0.41086143
Train Epoch: 24 [1600/3825(42%)]	Loss: 0.25057715
Train Epoch: 24 [1920/3825(50%)]	Loss: 0.26577374
Train Epoch: 24 [2240/3825(58%)]	Loss: 0.33831862
Train Epoch: 24 [2560/3825(67%)]	Loss: 0.34565362
Train Epoch: 24 [2880/3825(75%)]	Loss: 0.98332238
Train Epoch: 24 [3200/3825(83%)]	Loss: 0.08645510
Train Epoch: 24 [3520/3825(92%)]	Loss: 0.23792547
Train Mean Loss : 0.31313838,	Train Accuracy: 87.87,	Time : 383.41 sec	 LR : 0.00001156
Train Epoch: 25 [0/3825(0%)]	Loss: 0.26299980
Train Epoch: 25 [320/3825(8%)]	Loss: 0.18804035
Train Epoch: 25 [640/3825(17%)]	Loss: 0.30950302
Train Epoch: 25 [960/3825(25%)]	Loss: 0.24264441
Train Epoch: 25 [1280/3825(33%)]	Loss: 0.14788355
Train Epoch: 25 [1600/3825(42%)]	Loss: 0.24681252
Train Epoch: 25 [1920/3825(50%)]	Loss: 0.26083362
Train Epoch: 25 [2240/3825(58%)]	Loss: 0.22602320
Train Epoch: 25 [2560/3825(67%)]	Loss: 0.21480292
Train Epoch: 25 [2880/3825(75%)]	Loss: 0.43382624
Train Epoch: 25 [3200/3825(83%)]	Loss: 0.21195707
Train Epoch: 25 [3520/3825(92%)]	Loss: 0.48695028
Train Mean Loss : 0.25818725,	Train Accuracy: 90.20,	Time : 377.07 sec	 LR : 0.00009990
Train Epoch: 26 [0/3825(0%)]	Loss: 0.29323438
Train Epoch: 26 [320/3825(8%)]	Loss: 0.46916091
Train Epoch: 26 [640/3825(17%)]	Loss: 0.15839200
Train Epoch: 26 [960/3825(25%)]	Loss: 0.16674645
Train Epoch: 26 [1280/3825(33%)]	Loss: 0.31248257
Train Epoch: 26 [1600/3825(42%)]	Loss: 0.27747700
Train Epoch: 26 [1920/3825(50%)]	Loss: 0.22789490
Train Epoch: 26 [2240/3825(58%)]	Loss: 0.20068488
Train Epoch: 26 [2560/3825(67%)]	Loss: 0.46640837
Train Epoch: 26 [2880/3825(75%)]	Loss: 0.22697626
Train Epoch: 26 [3200/3825(83%)]	Loss: 0.27515793
Train Epoch: 26 [3520/3825(92%)]	Loss: 0.19888932
Train Mean Loss : 0.26803350,	Train Accuracy: 90.04,	Time : 383.26 sec	 LR : 0.00000788
Train Epoch: 27 [0/3825(0%)]	Loss: 0.13306332
Train Epoch: 27 [320/3825(8%)]	Loss: 0.10052280
Train Epoch: 27 [640/3825(17%)]	Loss: 0.14226577
Train Epoch: 27 [960/3825(25%)]	Loss: 0.18903764
Train Epoch: 27 [1280/3825(33%)]	Loss: 0.06305370
Train Epoch: 27 [1600/3825(42%)]	Loss: 0.20015399
Train Epoch: 27 [1920/3825(50%)]	Loss: 0.34773707
Train Epoch: 27 [2240/3825(58%)]	Loss: 0.28345108
Train Epoch: 27 [2560/3825(67%)]	Loss: 0.20659365
Train Epoch: 27 [2880/3825(75%)]	Loss: 0.34226099
Train Epoch: 27 [3200/3825(83%)]	Loss: 0.14865117
Train Epoch: 27 [3520/3825(92%)]	Loss: 0.37811032
